0,21404,38622,17218,23128,38625,15497,17221
1,29512,61386,31874,38603,61390,22787,31878
2,44613,75446,30833,61354,75449,14095,30836
3,75459,98143,22684,77652,98146,20494,22687
4,80392,107119,26727,98119,107122,9003,26730
5,107133,120025,12892,107851,120028,12177,12895
6,107864,120052,12188,108576,120055,11479,12191
7,114939,124450,9511,117603,124453,6850,9514
8,108584,120407,11823,109300,120410,11110,11826
9,117645,124476,6831,119867,124479,4612,6834
10,121561,126170,4609,124432,126173,1741,4612
11,113577,121494,7917,114040,121497,7457,7920
12,126182,141701,15519,127098,141704,14606,15522
13,127111,141727,14616,128027,141730,13703,14619
14,136543,146118,9575,139186,146121,6935,9578
15,128037,142067,14030,128955,142070,13115,14033
16,139221,146143,6922,141446,146146,4700,6925
17,143215,147933,4718,146092,147936,1844,4721
18,134594,143152,8558,135515,143155,7640,8561
19,147947,164549,16602,148957,164552,15595,16605
20,148970,164574,15604,149980,164577,14597,15607
21,159368,168929,9561,161973,168932,6959,9564
22,149989,164922,14933,151010,164925,13915,14936
23,162062,168953,6891,164300,168956,4656,6894
24,166043,170755,4712,168911,170758,1847,4715
25,157314,165983,8669,158327,165986,7659,8672
26,170767,187508,16741,181821,187511,5690,16744
27,181826,187531,5705,182841,187534,4693,5708
28,185232,189510,4278,187486,189513,2027,4281
29,188370,190413,2043,189493,190416,923,2046
30,190424,203671,13247,192230,203674,11444,13250
31,192243,203694,11451,193471,203697,10226,11454
32,201109,207174,6065,202319,207177,4858,6068
33,204420,209138,4718,205920,209141,3221,4721
34,193483,203903,10420,194701,203906,9205,10423
35,202354,207474,5120,203475,207478,4003,5124
36,205955,209162,3207,207150,209165,2015,3210
37,208011,211371,3360,209119,211374,2255,3363
38,209491,212182,2691,211069,212185,1116,2694
39,198528,204383,5855,200356,204386,4030,5858
40,212193,227820,15627,214013,227823,13810,15630
41,214023,227843,13820,215825,227846,12021,13823
42,224370,232232,7862,226031,232235,6204,7865
43,228695,234712,6017,230509,234715,4206,6020
44,215839,228089,12250,217660,228092,10432,12253
45,226064,232524,6460,227627,232527,4900,6463
46,230538,234737,4199,232198,234741,2543,4203
47,233131,237084,3953,234694,237087,2393,3956
48,235152,238175,3023,237061,238178,1117,3026
49,221760,228659,6899,223579,228662,5083,6902
50,238187,253870,15683,240011,253873,13862,15686
51,240020,253894,13874,241827,253897,12070,13877
52,250393,258258,7865,252072,258261,6189,7868
53,254753,260752,5999,256550,260755,4205,6002
54,241837,254148,12311,243646,254151,10505,12314
55,252108,258551,6443,253675,258554,4879,6446
56,256580,260775,4195,258238,260779,2541,4199
57,259157,263108,3951,260728,263111,2383,3954
58,261174,264183,3009,263088,264186,1098,3012
59,247786,254719,6933,249600,254722,5122,6936
60,264194,281022,16828,266013,281025,15012,16831
61,266021,281047,15026,267844,281050,13206,15029
62,276537,286353,9816,278730,286356,7626,9819
63,282031,289402,7371,284100,289405,5305,7374
64,267849,281340,13491,269659,281343,11684,13494
65,278764,286645,7881,280830,286648,5818,7884
66,284130,289424,5294,286333,289427,3094,5297
67,287313,292122,4809,289379,292125,2746,4812
68,289903,293212,3309,292100,293215,1115,3312
69,273892,281996,8104,275698,281999,6301,8107
70,293223,302221,8998,295050,302224,7174,9001
71,298376,305024,6648,299979,305027,5048,6651
72,295059,302348,7289,296887,302351,5464,7292
73,300012,305046,5034,302202,305049,2847,5037
74,302934,306764,3830,305006,306767,1761,3833
75,305524,307184,1660,306741,307187,446,1663
76,307195,318953,11758,308394,318956,10562,11761
77,308400,318975,10575,309831,318978,9147,10578
78,314386,322723,8337,315841,322726,6885,8340
79,315851,322747,6896,317323,322750,5427,6899
80,309842,319224,9382,311538,319227,7689,9385
81,317354,322770,5416,318865,322773,3908,5419
82,319763,323672,3909,321209,323675,2466,3912
83,321222,323694,2472,322698,323697,999,2475
84,313043,319680,6637,313984,319683,5699,6640
85,323707,338812,15105,325604,338815,13211,15108
86,325616,338836,13220,327865,338839,10974,13223
87,334243,342602,8359,335698,342605,6907,8362
88,335708,342628,6920,337188,342631,5443,6923
89,327868,339094,11226,330539,339097,8558,11229
90,337218,342652,5434,338721,342655,3934,5437
91,339642,343557,3915,341082,343560,2478,3918
92,341093,343926,2833,342576,343929,1353,2836
93,332388,339561,7173,333816,339564,5748,7176
