v/tower_0/cg/conv8/conv2d/Conv2D,58993
v/tower_0/cg/conv7/conv2d/Conv2D,30849
v/tower_0/cg/conv9/conv2d/Conv2D,58994
v/tower_0/cg/conv4/conv2d/Conv2D,22116
v/tower_0/cg/conv5/conv2d/Conv2D,38655
v/tower_0/cg/conv2/conv2d/Conv2D,33863
v/tower_0/cg/conv12/conv2d/Conv2D,14956
v/tower_0/cg/conv11/conv2d/Conv2D,14948
v/tower_0/cg/conv10/conv2d/Conv2D,14961
v/tower_0/cg/conv3/conv2d/Conv2D,55213
v/tower_0/cg/conv6/conv2d/Conv2D,124092
v/tower_0/cg/conv0/conv2d/Conv2D,9002
v/tower_0/cg/conv1/conv2d/Conv2D,69955
